Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
81,tt0114558,2020-07-13,2020-07-13,,"Strange Days","Strange Days",https://www.imdb.com/title/tt0114558/,Movie,7.2,145,1995,"Crime, Drama, Sci-Fi, Thriller",84821,1995-10-13,"Kathryn Bigelow",,
82,tt3513548,2020-07-13,2020-07-13,,"Richard Jewell","Richard Jewell",https://www.imdb.com/title/tt3513548/,Movie,7.5,131,2019,"Biography, Crime, Drama",106192,2019-12-13,"Clint Eastwood",,
83,tt0477302,2020-08-13,2020-08-13,,"Extremely Loud & Incredibly Close","Extremely Loud & Incredibly Close",https://www.imdb.com/title/tt0477302/,Movie,6.9,129,2011,"Adventure, Drama, Mystery",107752,2012-01-20,"Stephen Daldry",,
84,tt4034228,2020-08-13,2020-08-13,,"Manchester by the Sea","Manchester by the Sea",https://www.imdb.com/title/tt4034228/,Movie,7.8,137,2016,"Drama",354586,2016-12-16,"Kenneth Lonergan",,
85,tt4555426,2020-08-13,2020-08-13,,"Darkest Hour","Darkest Hour",https://www.imdb.com/title/tt4555426/,Movie,7.4,125,2017,"Biography, Drama, History, War",242427,2017-12-22,"Joe Wright",,
86,tt0042192,2020-08-18,2020-08-18,,"All About Eve","All About Eve",https://www.imdb.com/title/tt0042192/,Movie,8.2,138,1950,"Drama",148772,1950-10-27,"Joseph L. Mankiewicz",,
87,tt5536736,2020-08-30,2020-08-30,,"The Meyerowitz Stories","The Meyerowitz Stories (New and Selected)",https://www.imdb.com/title/tt5536736/,Movie,6.9,112,2017,"Comedy, Drama",56632,2017-10-13,"Noah Baumbach",,
88,tt7939766,2020-09-02,2020-09-02,,"I'm Thinking of Ending Things","I'm Thinking of Ending Things",https://www.imdb.com/title/tt7939766/,Movie,6.5,134,2020,"Drama, Thriller",109628,2020-09-04,"Charlie Kaufman",,
89,tt0101414,2020-10-04,2020-10-04,,"Beauty and the Beast","Beauty and the Beast",https://www.imdb.com/title/tt0101414/,Movie,8.0,84,1991,"Animation, Family, Fantasy, Musical, Romance",504037,1991-11-22,"Gary Trousdale, Kirk Wise",,
90,tt0476735,2020-10-04,2020-10-04,,"My Father and My Son","Babam ve Oglum",https://www.imdb.com/title/tt0476735/,Movie,8.2,112,2005,"Drama, Family",100446,2005-11-18,"Çagan Irmak",,
91,tt1489889,2020-10-23,2020-10-23,,"Central Intelligence","Central Intelligence",https://www.imdb.com/title/tt1489889/,Movie,6.3,107,2016,"Action, Comedy, Crime",237553,2016-06-17,"Rawson Marshall Thurber",,
92,tt1216496,2020-12-21,2020-12-21,,"Mother","Madeo",https://www.imdb.com/title/tt1216496/,Movie,7.7,129,2009,"Crime, Drama, Mystery, Thriller",80056,2009-05-28,"Bong Joon Ho",,
